node,in_degree,out_degree,pagerank,betweenness,clustering
knh_hospital,32,0,0.00036395399581015854,0.0,0.04516129032258064
__reggy__,44,3,0.00036173250986280066,1.0470207500475918e-06,0.003171247357293869
moraatimes,1,0,0.00036166218457940017,0.0,0.0
seisebagbo,13,26,0.0003615072921948897,0.00024839456818326035,0.043697478991596636
monrosemurugi,48,0,0.0003588258750722586,0.0,0.0008865248226950354
usikimye,13,0,0.000358158634893697,0.0,0.0
mrsmuruguu,10,2,0.00035587443307484666,0.0,0.022222222222222223
mkenya_7,61,0,0.00035527779021458754,0.0,0.0
mutembeitv,22,0,0.0003516210588475145,0.0,0.004761904761904762
atiiita,48,0,0.00034972892635331453,0.0,0.0
eastersins,41,0,0.0003447860838424454,0.0,0.0
mulinge_muteti_,14,2,0.00034297389704618397,0.0,0.0
skmusyoka,43,0,0.00034266303590413236,0.0,0.0
wanjirumathenge,28,0,0.00034121610247409115,0.0,0.0
jdugudichi,48,0,0.00033878556022981873,0.0,0.0
grandpahasasay,1,0,0.0003355486168402651,0.0,0.0
kwanjiru1,29,0,0.00033379254753891565,0.0,0.0
mwangocapital,29,0,0.0003334628602317226,0.0,0.0
cagiago_,22,0,0.00033339239949531417,0.0,0.0
goddie_ke,39,0,0.0003329011512726978,0.0,0.001422475106685633
bitarts13,56,1,0.00033180234173982916,7.614696363982486e-07,0.0
goldfield6,24,10,0.0003306745526668818,0.0,0.013227513227513227
disembe,27,0,0.0003281783668502784,0.0,0.0
magwaz3,40,0,0.0003259884803044289,0.0,0.0
edutosha,34,1,0.0003242475522949089,1.1326860841423948e-06,0.008403361344537815
jimnjue_,55,0,0.0003198801585346011,0.0,0.0
mookhafrica,7,0,0.00031978312900856595,0.0,0.0
rwigidon,35,0,0.0003196484038586581,0.0,0.0
itsmutai,23,0,0.00031918269900591423,0.0,0.0
alinurmohamed_,36,0,0.0003185245056235687,0.0,0.0016806722689075631
amalinzethekat,22,8,0.00031737106404629506,0.0,0.0
copshakur,47,0,0.0003169229485706451,0.0,0.00101010101010101
ademba_47,67,0,0.0003151046902106879,0.0,0.0
terry254_,3,0,0.00031502073118400695,0.0,0.0
lilithblack25,35,0,0.00031487822041456544,0.0,0.0016806722689075631
21wanjiku,1,0,0.0003144333595273132,0.0,0.0
_naswa_,39,0,0.00031359876771963965,0.0,0.0
saddiqueshaban,46,0,0.00031223730562702985,0.0,0.000966183574879227
jumaf3,16,0,0.00031217203760975135,0.0,0.008333333333333333
moseswycliff,3,1,0.0003089598527871162,0.0,0.0
itsopuk,38,0,0.00030818633509487097,0.0,0.001422475106685633
steveamenya,40,0,0.00030792682360998347,0.0,0.0
alfredarapketer,52,0,0.00030636870086551645,0.0,0.0009250693802035153
17johnmuniu,3,2,0.0003056268043330455,3.0268418046830384e-05,0.0
kairetukamwas,32,0,0.00030433471565519284,0.0,0.0
bn_karanja,32,1,0.000303662824858727,1.5990862364363222e-05,0.003787878787878788
wode_maya,34,0,0.00030333843631550993,0.0,0.0
muiruwanjira,30,0,0.0003022521076090221,0.0,0.004597701149425287
g_koffie,20,26,0.00030017864684316574,0.0,0.0213903743315508
kalasinga_,23,0,0.00029971794411049705,0.0,0.0
mambomseto254,15,0,0.00029867863627380575,0.0,0.0
millennialmoran,4,0,0.0002984446320742062,0.0,0.0
_koosy,1,0,0.0002983971269311937,0.0,0.0
janetmachuka_,37,1,0.00029811992303409985,0.0,0.0
mothoni_,31,0,0.0002978466281416826,0.0,0.002150537634408602
nellycate1,3,3,0.0002969808077174331,2.3025391386327997e-05,0.1
mawia____,36,0,0.00029564896591595776,0.0,0.0
ww_nab,37,0,0.0002953892265476377,0.0,0.0
gringomulla,16,0,0.0002925644732246051,0.0,0.03571428571428571
wakiune,3,0,0.0002925074064058142,0.0,0.0
ericmutonga1,32,0,0.0002923444519903131,0.0,0.0
